from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMICCNORN6,StopPoint:AMICCNOR1,2,546
StopPoint:AMICTRI1,StopPoint:AMICTRI2,2,39
StopPoint:AMICTRI2,StopPoint:AMICTRI1,2,39
StopPoint:AMICVICTN1,StopPoint:AMICVICTN2,2,125
StopPoint:AMICVICTN2,StopPoint:AMICVICTN1,2,125
StopPoint:AMICHAGR1,StopPoint:AMICHAGR2,2,73
StopPoint:AMICHAGR2,StopPoint:AMICHAGR1,2,73
StopPoint:AMICHAPIN1,StopPoint:AMICHAPIN2,2,43
StopPoint:AMICHAPIN2,StopPoint:AMICHAPIN1,2,43
StopPoint:AMICIPRON1,StopPoint:AMICIPRON2,2,17
StopPoint:AMICIPRON2,StopPoint:AMICIPRON1,2,17
StopPoint:AMICHARDN1,StopPoint:AMICHARDN2,2,24
StopPoint:AMICHARDN2,StopPoint:AMICHARDN1,2,24
StopPoint:AMICTELL1,StopPoint:AMICTELL2,2,39
StopPoint:AMICTELL2,StopPoint:AMICTELL1,2,39
StopPoint:AMICMADE1,StopPoint:AMICMADE2,2,74
StopPoint:AMICMADE2,StopPoint:AMICMADE1,2,74
StopPoint:AMICJEAN1,StopPoint:AMICJEAN2,2,75
StopPoint:AMICJEAN2,StopPoint:AMICJEAN1,2,75
StopPoint:AMICIRQUN2,StopPoint:AMICIRQU1,2,213
StopPoint:AMICIRQUN2,StopPoint:AMICIRQUN1,2,193
StopPoint:AMICIRQUN2,StopPoint:AMICIRQMN2,2,8
StopPoint:AMICIRQUN2,StopPoint:AMICIRQMN1,2,185
StopPoint:AMICIRQU1,StopPoint:AMICIRQUN2,2,213
StopPoint:AMICIRQU1,StopPoint:AMICIRQUN1,2,21
StopPoint:AMICIRQU1,StopPoint:AMICIRQMN2,2,221
StopPoint:AMICIRQU1,StopPoint:AMICIRQMN1,2,173
StopPoint:AMICIRQUN1,StopPoint:AMICIRQUN2,2,193
StopPoint:AMICIRQUN1,StopPoint:AMICIRQU1,2,21
StopPoint:AMICIRQUN1,StopPoint:AMICIRQMN2,2,201
StopPoint:AMICIRQUN1,StopPoint:AMICIRQMN1,2,157
StopPoint:AMICIRQMN2,StopPoint:AMICIRQUN2,2,8
StopPoint:AMICIRQMN2,StopPoint:AMICIRQU1,2,221
StopPoint:AMICIRQMN2,StopPoint:AMICIRQUN1,2,201
StopPoint:AMICIRQMN2,StopPoint:AMICIRQMN1,2,190
StopPoint:AMICIRQMN1,StopPoint:AMICIRQUN2,2,185
StopPoint:AMICIRQMN1,StopPoint:AMICIRQU1,2,173
StopPoint:AMICIRQMN1,StopPoint:AMICIRQUN1,2,157
StopPoint:AMICIRQMN1,StopPoint:AMICIRQMN2,2,190
StopPoint:AMICIMONN1,StopPoint:AMICIMONN6,2,123
StopPoint:AMICIMONN1,StopPoint:AMICIMONN2,2,123
StopPoint:AMICIMONN1,StopPoint:AMICIFRAN1,2,625
StopPoint:AMICIMONN1,StopPoint:AMICIFRAN2,2,660
StopPoint:AMICIMONN6,StopPoint:AMICIMONN1,2,123
StopPoint:AMICIMONN6,StopPoint:AMICIMONN2,2,1
StopPoint:AMICIMONN6,StopPoint:AMICIFRAN1,2,747
StopPoint:AMICIMONN6,StopPoint:AMICIFRAN2,2,782
StopPoint:AMICIMONN2,StopPoint:AMICIMONN1,2,123
StopPoint:AMICIMONN2,StopPoint:AMICIMONN6,2,1
StopPoint:AMICIMONN2,StopPoint:AMICIFRAN1,2,747
StopPoint:AMICIMONN2,StopPoint:AMICIFRAN2,2,782
StopPoint:AMICIFRAN1,StopPoint:AMICIMONN1,2,625
StopPoint:AMICIFRAN1,StopPoint:AMICIMONN6,2,747
StopPoint:AMICIFRAN1,StopPoint:AMICIMONN2,2,747
StopPoint:AMICIFRAN1,StopPoint:AMICIFRAN2,2,35
StopPoint:AMICHARAN1,StopPoint:AMICHARAN2,2,24
StopPoint:AMICHARAN1,StopPoint:AMICHARAN3,2,235
StopPoint:AMICHARAN1,StopPoint:AMICHARAN4,2,215
StopPoint:AMICHARAN2,StopPoint:AMICHARAN1,2,24
StopPoint:AMICHARAN2,StopPoint:AMICHARAN3,2,218
StopPoint:AMICHARAN2,StopPoint:AMICHARAN4,2,195
StopPoint:AMICHARAN3,StopPoint:AMICHARAN1,2,235
